dataid,total_consumption,mci
8188,972.7816004,23.62356006
1629,1097.436377,23.25970553
9555,2585.400281,23.4234639
9052,1011.86884,23.49965088
7001,1208.235009,23.46413687
7769,408.5236765,23.6582129
604,4356.915139,23.46645986
93,927.4314728,23.50451819
4447,1560.42862,23.48452111
4703,1080.850513,23.47655623
8282,1741.733476,23.34587548
8273,2906.681086,23.45114712
4956,1002.900303,23.53745963
9818,949.2637666,23.49839764
3935,627.0036844,23.41511902
4957,3166.270093,23.5097088
8292,704.7332282,23.48110369
2401,876.5511373,23.43718422
1632,1558.229762,23.4336954
6498,2087.315289,23.44538083
86,1645.938425,23.48649566
7767,804.9415448,23.44737443
3649,1348.232639,23.4224016
3916,2595.007839,23.49505636
3394,2379.457444,23.43270565
3401,3524.911477,23.38583156
585,928.3817762,23.46628238
6730,920.2567125,23.53821888
2378,1080.724105,23.38246517
9295,1438.88804,23.475728
77,1882.414452,23.47422241
6990,1235.856607,23.45855037
2638,1254.235202,23.61682966
3413,1432.250275,23.44162412
1103,513.286491,23.46995296
3918,2197.076619,23.47081483
2129,1480.912127,23.47397288
2641,1885.814535,23.41470293
4946,1241.402789,23.47031553
1617,1190.803236,23.47950145
4944,427.7234317,23.40007388
7504,1414.485721,23.53074912
4193,1582.377252,23.52044123
8807,942.5878529,23.43996646
3938,374.2048103,23.47365723
8829,1159.716581,23.53198943
115,607.9455142,23.38043323
7024,871.3544627,23.52573784
7536,844.3387276,23.56216986
7030,860.6936322,23.5649786
4213,1169.203487,23.48557266
8059,648.7732589,23.4667864
6266,1838.351928,23.47260704
8317,856.0890055,23.41163685
9085,960.95688,23.57005482
101,703.0281317,23.51855002
3192,1361.836669,23.38595601
2171,1518.48556,23.54196444
890,936.4993854,23.50596991
6264,584.6561779,23.44934246
4473,562.3165359,23.58263876
379,1750.830531,23.38978971
9343,661.1519033,23.34766233
1403,799.1913723,23.45165514
7793,1688.890395,23.39328878
2931,1352.374178,23.57697299
370,1714.321237,23.4835238
114,1244.201394,23.45403609
871,1183.799919,23.48487135
7787,1064.711341,23.38814843
9836,589.96225,23.49861308
7017,0,
1642,988.9621131,23.60320577
6248,1681.487544,23.56943958
7016,3106.427341,23.30010312
2925,1609.032979,23.73237985
2156,1539.944446,23.6416
8046,1518.435424,23.12492786
2158,1250.634277,23.51279701
8555,632.4894898,23.37653851
7788,2125.656278,23.34129882
624,793.6113698,23.50326964
1392,1849.336192,23.45700279
3953,2239.330306,23.55727967
9333,1377.808167,23.38254468
3392,767.6082146,23.32869344
3134,929.9326292,23.43031299
1791,1264.29954,23.52923868
2072,1327.901627,23.58375421
6412,2454.043743,23.43130131
1551,439.4286406,23.67171093
6423,1262.614318,23.55460983
4375,2886.188213,23.42295228
3092,1283.308979,23.49179695
6165,580.2115859,23.49233729
4373,1933.781092,23.66412893
9235,618.7544281,23.47869948
26,1249.204261,23.62003936
781,1111.565512,23.54624409
4633,1173.327933,23.48274365
8218,460.1522495,23.38737585
6941,2157.5088,23.4491131
7965,2411.203875,23.36994258
2337,414.1651428,23.27084624
6691,3335.352133,23.10120435
545,1208.475283,23.49466375
8741,1425.984227,23.48839912
2575,1805.540628,23.4536599
8201,1244.549364,23.36401675
9019,1164.202672,23.50632636
7429,1086.065405,23.430777
8197,4124.668873,23.39269947
4352,1217.064571,23.50842737
2818,717.8304046,23.46524271
1283,1614.946139,23.43074915
516,1557.76767,23.40629807
1796,356.6641512,23.51547581
9729,1231.944421,23.53621591
774,1399.193238,23.45806219
6148,1443.753402,23.49804786
7951,1003.340541,23.38471399
4357,456.3577511,23.51938837
7940,1272.609112,23.28965881
4874,1155.759309,23.44801723
9484,2322.598871,23.42860766
1800,1324.274574,23.54554254
3849,1418.714589,23.51407363
1801,1595.610543,23.60612501
2829,967.3238028,23.46269732
3104,616.1070805,23.60641027
9766,1048.115155,23.53663806
4641,1433.33404,23.58017002
4920,1263.74217,23.46309964
1589,1205.094949,23.58206944
1334,763.6394966,23.47410422
7989,1254.60761,23.65615756
8243,981.8622835,23.41447316
3126,6350.992773,23.52755635
4154,1930.061402,23.32908489
2361,840.7809079,23.48326043
7739,508.418569,23.56560553
9278,2276.034097,23.36539841
547,2441.447271,23.62077413
59,2174.375994,23.37555507
8767,694.3762411,23.46145701
2365,1118.439087,23.53334839
4670,568.3765439,23.4959807
1086,1036.013953,23.43774119
7741,858.1230348,23.59342771
6460,1667.645343,23.4315464
575,1216.468239,23.42323213
821,585.2538448,23.44834724
9776,3867.279112,23.46763881
3635,1271.948937,23.60150108
4147,2297.675273,23.46428383
9248,1914.228783,23.56063348
7719,2067.037882,23.53391295
3367,1593.634201,23.57342679
7973,967.0613382,23.44025068
1830,669.2826975,23.48863407
6692,1257.164546,23.53201766
8995,629.5587597,23.52221862
8236,1127.807592,23.23473596
3368,1034.612126,23.40355451
2859,360.1833298,23.45830504
9775,868.9059234,23.53621828
6191,4170.6287,23.47301293
9001,790.7679777,23.47079207
2094,1666.853558,23.50084998
2606,1278.084104,23.41813679
9771,2240.669998,23.62349794
7731,760.8553408,23.51938019
7800,940.4546879,23.50734839
4220,1362.54408,23.44791087
8061,730.8606198,23.46569306
4830,0,
2004,1393.217272,23.51029039
9937,999.6331039,23.66433728
9938,3174.422699,23.3427136
9939,1396.169816,23.45670054
6101,1144.562199,23.59632019
8669,2171.632629,23.41701368
7641,1353.945813,23.50423723
4313,2834.30703,23.45766327
1500,627.5051417,23.59163846
9942,1116.114429,23.54626737
4575,1174.481896,23.60323334
3036,1173.287249,23.52343113
7390,585.4609933,23.50658998
222,4266.267149,23.47070149
3039,2667.206481,23.62195447
9434,1348.084172,23.41615858
7901,1149.19398,23.51340219
7900,1423.925857,23.52015232
3538,579.6702455,23.50794162
3795,2287.155199,23.2408337
3967,1222.068509,23.35666745
7627,860.7567186,23.57175922
1731,763.6772383,23.49174209
3268,456.5691318,23.39059528
9921,397.9144226,23.47701548
8386,1104.01329,23.53540711
3527,1089.219693,23.63414779
9922,3073.193229,23.52820566
4298,864.6997697,23.57359732
3273,855.2726487,23.41507124
9932,771.3441828,23.42534564
2769,1246.850983,23.56046069
4297,548.533977,23.35629357
9935,11373.08588,23.23397962
9160,547.9455303,23.50840682
7117,1082.354944,23.424567
974,1659.712197,23.46919634
8395,573.9721781,23.47733845
6348,1508.125984,23.41869233
2510,0,
8156,1527.286075,23.61134308
8163,818.4149281,23.49286961
9701,317.6771329,23.50568213
6139,1742.514162,23.36074413
4342,852.9706748,23.60344949
1524,636.5844126,23.33292663
3829,1546.289337,23.43604765
3831,581.1135772,23.52357985
503,1347.678595,23.53342911
9971,855.3892535,23.54287288
8956,355.5288395,23.5370316
3577,701.3573981,23.47917783
9982,683.1751419,23.56596127
2787,1465.159155,23.52960571
4601,1305.129095,23.40507089
9983,1762.261862,23.12495655
252,3208.928033,23.4810849
2557,1743.017972,23.5017411
6910,1440.254988,23.67411998
7166,2623.764314,23.60292023
1790,2065.145616,23.45245365
2814,1391.577787,23.6403
499,1474.02776,23.43339407
2034,790.187512,23.57272976
9462,2267.210163,23.69893545
9206,2989.036816,23.37767449
2018,2817.040085,23.58581132
483,1143.117905,23.52537887
1507,3710.014692,23.42070462
484,1174.003119,23.38349254
6887,948.1290344,23.54982893
2532,1110.354311,23.51476067
3044,2551.225126,23.59679645
1766,1062.365458,23.49815564
8419,1990.300044,23.40341434
744,788.1496361,23.54652119
490,1838.08433,23.48138372
6888,1035.330972,23.36065615
6121,1616.124797,23.29081619
4590,2040.759627,23.61784673
3310,978.9261968,23.57836973
6643,1074.634137,23.47886878
4336,1499.555868,23.51540943
9926,1121.285791,23.48060631
7361,1038.007741,23.3552594
2755,728.0363457,23.5250439
8084,1032.771967,23.45691895
2965,1406.297125,23.73562281
3221,2211.927257,23.583714
661,1450.088802,23.36129187
8086,873.2934318,23.52290564
2199,504.9093985,23.54470806
2710,3920.060907,23.3848511
9875,688.4087738,23.45504684
3734,582.022065,23.3577494
3736,1221.527938,23.46815064
1696,2111.019275,23.34246413
410,925.1885418,23.52601811
8862,224.7354479,23.36470882
4505,2560.397888,23.67006404
3482,840.0450364,23.19749416
2461,0,
668,253.6896144,23.39085273
8857,1547.58491,23.22545099
4767,1399.973463,23.66948462
8342,331.2998919,23.41715416
1169,1019.498604,23.6172387
4499,1167.535274,23.43613189
2449,1082.854503,23.53338033
2945,721.6004814,23.52722285
3456,720.0235542,23.42344832
9605,558.5503948,23.41910728
898,504.2913624,23.56049246
4998,1644.86797,23.58356443
3719,1243.332443,23.47222952
1415,919.5151782,23.63775484
2953,512.6123433,23.39186393
9356,3288.285531,23.47326238
8589,2060.712911,23.55430922
9613,945.6251828,23.52203769
3723,1711.070829,23.38966454
7560,1372.000443,23.47697287
6799,5548.05913,23.41914719
8079,2308.842294,23.36509306
4495,292.7660269,23.55656692
9609,1890.061086,23.37187248
4514,1069.567172,23.58326495
1697,2514.42201,23.55149239
6593,1332.715993,23.39299235
1463,530.3533395,23.4240937
1202,1940.230783,23.44171371
9654,444.2927378,23.44441076
1714,1474.284726,23.52717511
3506,1127.865963,23.5476917
8368,972.129317,23.51885836
8626,1562.313635,23.41098458
1718,1658.765377,23.59755368
2742,906.2105694,23.39810127
2233,1293.338293,23.47384421
1953,735.8380331,23.80726499
187,1874.693271,23.49269177
9912,635.4161892,23.42014516
4031,1271.720561,23.59567402
9915,686.0185409,23.48116028
3009,1046.346403,23.37360348
9156,560.3578752,23.4781523
7875,1369.538533,23.36833329
8645,573.5867545,23.69391563
9142,733.2086682,23.53766319
946,683.6469857,23.4465044
434,1642.848109,23.56830366
9141,726.2434511,23.3881247
1700,2133.15957,23.41805087
9121,1033.315852,23.52322938
2980,793.6879244,23.53726332
4773,1301.141382,23.41192392
1192,818.2054496,23.40645706
2472,1430.228582,23.56773862
7850,1158.703638,23.72045856
8622,823.853035,23.33442762
9134,1699.135038,23.47168893
1450,1137.761657,23.58137822
171,746.7158746,23.49249158
2986,649.0067752,23.43843487
9647,3979.703493,23.49776492
3500,2178.740523,23.53697287
6063,745.9666206,23.42668446
6061,1319.887323,23.56078855
6578,915.1141175,23.65799629
1792,1646.237219,23.41417281
